Higher School of Poker - Grand Prix Tour,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Place,,,Golden Fish,,,,,,,,,,,
1st,safdenz,,Current winner,We don't know,,,,,,,,,,
2nd,stparitet,,,,,,,,,,,,,
3rd,derupo,,,,,,,,,,,,,
4th,thegod,,,,,,,,,,,,,
,,,,Money results,,,,,,,,,,
,,,,,,,,,,,,,,
Game 1,,,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Profit
Date,Buy-in,Rebuys,,derupo,-450,-350,-600,-500,-400,-450,-1050,-400,2250,-1950
08.09.18,300,3,,stparitet,1650,1225,-800,-750,-800,-600,1575,-200,-1000,300
,,,,safdenz,-600,-175,2200,2250,1400,1350,-175,-400,750,6600
Game 2,,,,thegod,-600,-700,-800,-1000,-200,-300,-350,1000,-2000,-4950
Date,Buy-in,Rebuys,,,,,,,,,,,,
15.09.18,350,2,,,,,,,,,,,,
,,,,Golden Fish,,,,,,,,,,
Game 3,,,,,,,,,,,,,,
Date,Buy-in,Rebuys,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Sum
05.10.18,400,3,,derupo,3,1,1,1,0,2,2,0,2,12
,,,,stparitet,0,1,0,1,0,0,1,2,0,5
Game 4,,,,safdenz,1,1,2,1,2,2,1,0,2,12
Date,Buy-in,Rebuys,,thegod,0,1,1,1,2,0,0,2,0,7
20.10.18,500,2,,,,,,,,,,,,
,,,,,,,,,,,,,,
Game 5,,,,Rebuys stat,,,,,,,,,,
Date,Buy-in,Rebuys,,,,,,,,,,,,
02.11.18,400,1,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Sum
,,,,derupo,1,0,1,0,0,1,2,0,0,5
Game 6,,,,stparitet,0,1,1,1,1,1,0,0,0,5
Date,Buy-in,Rebuys,,safdenz,1,0,0,0,0,0,0,0,0,1
16.11.18,300,2,,thegod,1,1,1,1,0,0,0,0,1,5
,,,,,,,,,,,,,,
Game 7,,,,Places,derupo,ai,safdenz,thegod,,1 game money,2100,,,
Date,Buy-in,Rebuys,,1st,1,3,4,1,,2 game money,2100,,,
07.12.18,350,2,,2nd,3,2,3,1,,3 game money,2800,,,
,,,,3rd,2,2,0,5,,4 game money,3000,,,
Game 8,,,,4th,3,2,2,2,,5 game money,2000,,,
Date,Buy-in,Rebuys,,,,,,,,6 game money,1800,,,
22.12.18,400,0,,,,,,,,7 game money,2100,,,
,,,,,,,,,,8 game money,1600,,,
Game 9,,,,,,,,,,9 game money,5000,,,
Date,Buy-in,Rebuys,,,,,,,,Total money:,,,,
09.02.19,1000,1,,,,,,,,22500,,,,
