RENAMING & REBRANDING,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Game info,,,,Money results,,,,,,,,
,,,,,,,,,,,,
Game 1,,,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Profit
Date,Buy-in,Rebuys,,derupo,-1000,,,,,,,-1000
03.09.2022,1000,0,,stparitet,2000,,,,,,,2000
,,,,safdenz,0,,,,,,,0
Game 2,,,,thegod,-1000,,,,,,,-1000
Date,Buy-in,Rebuys,,,,,,,,,,
,1000,,,Toss results,,,,,,,,
,,,,,,,,,,,,
Game 3,,,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,
Date,Buy-in,Rebuys,,1234,,,,,,,,
,1000,,,1243,,,,,,,,
,,,,1324,1,,,,,,,
Game 4,,,,1342,,,,,,,,
Date,Buy-in,Rebuys,,1423,,,,,,,,
,1000,,,1432,,,,,,,,
,,,,,,,,,,,,
Game 5,,,,Rebuys stat,,,,,,,,
Date,Buy-in,Rebuys,,,,,,,,,,
,1000,,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Sum
,,,,derupo,0,,,,,,,0
Game 6,,,,stparitet,0,,,,,,,0
Date,Buy-in,Rebuys,,safdenz,0,,,,,,,0
,1000,,,thegod,0,,,,,,,0
,,,,,,,,,,,,
Game 7,,,,Places,derupo,ai,safdenz,thegod,,Money,,
Date,Buy-in,Rebuys,,1st,0,1,0,0,,1 game,4000,
,2000,,,2nd,0,0,1,0,,2 game,4000,
,,,,3rd,0,0,0,1,,3 game,4000,
,,,,4th,1,0,0,0,,4 game,4000,
,,,,,,,,,,5 game,4000,
,,,,,,,,,,6 game,4000,
,,,,,,,,,,7 game,8000,
,,,,,,,,,,Total:,Money,
,,,,,,,,,,,32000,
