Higher School of Poker - Grand Prix Tour,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Place,,,Golden Fish,,,,,,,,,,,
1st,thegod,,Current winner,thegod,,,,,,,,,,
2nd,safdenz,,,,,,,,,,,,,
3rd,ai,,,,,,,,,,,,,
4th,derupo,,,,,,,,,,,,,
,,,,Money results,,,,,,,,,,
,,,,,,,,,,,,,,
Game 1,,,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Profit
Date,Buy-in,Rebuys,,derupo,-600,875,1000,-500,-800,-150,-700,-400,-500,-1775
23.02.19,300,4,,ai,-750,-175,-400,1250,2200,-300,-700,-400,-1000,-275
,,,,safdenz,1950,-350,-400,-250,-800,700,1575,-600,-2000,-175
Game 2,,,,thegod,-600,-350,-200,-500,-600,-300,-175,1400,3500,2175
Date,Buy-in,Rebuys,,,,,,,,,,,,
23.03.19,350,0,,,,,,,,,,,,
,,,,Golden Fish,,,,,,,,,,
Game 3,,,,,,,,,,,,,,
Date,Buy-in,Rebuys,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Sum
30.03.19,400,0,,derupo,0,3,2,0,0,1,0,0,2,8
,,,,stparitet,0,0,1,1,1,1,0,1,0,5
Game 4,,,,safdenz,3,0,0,2,0,1,1,1,0,8
Date,Buy-in,Rebuys,,thegod,1,1,1,1,3,1,3,2,2,15
20.04.19,500,0,,,,,,,,,,,,
,,,,,,,,,,,,,,
Game 5,,,,Rebuys stat,,,,,,,,,,
Date,Buy-in,Rebuys,,,,,,,,,,,,
11.05.19,400,3,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Sum
,,,,derupo,1,0,0,0,1,0,1,0,0,3
Game 6,,,,stparitet,2,0,0,0,0,0,1,0,0,3
Date,Buy-in,Rebuys,,safdenz,0,0,0,0,1,0,0,1,1,3
24.05.19,300,0,,thegod,1,0,0,0,1,0,0,0,0,2
,,,,,,,,,,,,,,
Game 7,,,,,,,,,,,,,,
Date,Buy-in,Rebuys,,Time stat,,,,,,,,,,
01.06.19,350,2,,,,,,,,,,,,
,,,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Sum
Game 8,,,,derupo,353,331,439,291,462,275,192,210,312,2865
Date,Buy-in,Rebuys,,stparitet,443,331,303,410,640,114,362,259,220,3082
15.06.19,400,1,,safdenz,453,249,241,410,330,275,465,399,194,3016
,,,,thegod,373,303,439,343,640,131,465,399,312,3405
Game 9,,,,,,,,,,,,,,
Date,Buy-in,Rebuys,,Places,derupo,ai,safdenz,thegod,,Money,,Time (minutes),,
12.10.19,1000,1,,1st,2,2,3,2,,1 game,2400,453,,
,,,,2nd,2,2,2,3,,2 game,1400,331,,
,,,,3rd,1,4,0,4,,3 game,1600,439,,
,,,,4th,4,1,4,0,,4 game,2000,410,,
,,,,,,,,,,5 game,2800,640,,
,,,,,,,,,,6 game,1200,275,,
,,,,,,,,,,7 game,2100,465,,
,,,,,,,,,,8 game,2000,399,,
,,,,,,,,,,9 game,5000,312,,
,,,,,,,,,,Total:,Money,Time,,
,,,,,,,,,,,20500,3724,,
