RENAMING & REBRANDING,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Place,,,,,,,,,,,,
1st,stparitet,,,,,,,,,,,
2nd,thegod,,,,,,,,,,,
3rd,safdenz,,,,,,,,,,,
4th,derupo,,,,,,,,,,,
,,,,Money results,,,,,,,,
,,,,,,,,,,,,
Game 1,,,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Profit
Date,Buy-in,Rebuys,,derupo,-500,1500,0,-1000,-1000,-1000,-2000,-4000
,500,2,,stparitet,-1000,-500,1000,0,2000,0,3000,4500
,,,,safdenz,1000,-500,-500,-1000,-1000,1500,0,-500
Game 2,,,,thegod,500,-500,-500,2000,0,-500,-1000,0
Date,Buy-in,Rebuys,,,,,,,,,,
21.12.19,500,1,,Toss results,,,,,,,,
,,,,,,,,,,,,
Game 3,,,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,
Date,Buy-in,Rebuys,,1234,1,,,,,,,
26.01.20,500,0,,1243,,,,,,1,,
,,,,1324,,,,1,,,1,
Game 4,,,,1342,,1,,,,,,
Date,Buy-in,Rebuys,,1423,,,1,,,,,
21.02.20,500,2,,1432,,,,,1,,,
,,,,,,,,,,,,
Game 5,,,,Rebuys stat,,,,,,,,
Date,Buy-in,Rebuys,,,,,,,,,,
15.06.22,500,3,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Sum
,,,,derupo,0,0,0,1,1,1,1,4
Game 6,,,,stparitet,1,1,0,0,1,0,1,4
Date,Buy-in,Rebuys,,safdenz,1,0,0,1,1,0,0,3
18.06.22,500,1,,thegod,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
Game 7,,,,Places,derupo,ai,safdenz,thegod,,Money,,
Date,Buy-in,Rebuys,,1st,1,3,2,1,,1 game,3000,
25.06.22,1000,2,,2nd,1,3,1,2,,2 game,2500,
,,,,3rd,1,1,3,2,,3 game,2000,
,,,,4th,4,0,1,2,,4 game,3000,
,,,,,,,,,,5 game,3500,
,,,,,,,,,,6 game,2500,
,,,,,,,,,,7 game,6000,
,,,,,,,,,,Total:,Money,
,,,,,,,,,,,22500,
